idx,date,area,dayAvgRhm,dayAvgTa,dayAvgWs,dayMaxTa,dayMinRhm,daySumRn,daySumSs,paCropName,paCropSpeId
592,2018-08-03,평택,64,31,1,38,37,0,0,무,PA130401
593,2018-08-12,평택,65,30,2,35,46,0,0,무,PA130401
594,2018-08-23,평택,69,28,2,34,50,3,0,무,PA130401
595,2018-08-31,평택,82,23,1,28,53,3,0,무,PA130401
596,2018-08-19,평택,60,26,1,33,31,0,0,무,PA130401
597,2018-08-13,평택,68,31,1,38,42,0,0,무,PA130401
598,2018-08-20,평택,62,28,1,34,43,0,0,무,PA130401
599,2018-08-25,평택,80,24,1,27,64,0,0,무,PA130401
600,2018-08-26,평택,89,20,1,23,74,9,0,무,PA130401
601,2018-08-27,평택,99,22,0,24,94,106,0,무,PA130401
602,2018-08-24,평택,90,24,2,26,75,16,0,무,PA130401
603,2018-08-18,평택,52,26,2,34,28,0,0,무,PA130401
604,2018-08-06,평택,75,30,1,35,46,0,0,무,PA130401
605,2018-08-07,평택,71,30,1,36,53,0,0,무,PA130401
